DATAFLOW,CLASSIFICATION: Classification,MEASURE: Measure,"SALTS: Sex, Age, and Location","SALTSSTUB: Sex, Age, and Location Questions",CYCLE: Cycle,FREQUENCY: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,UNIT_MEASURE: Unit of Measure,OBS_STATUS: Observation Status,OBS_COMMENT: Observation Comment
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SEXM: Male,15: Psychological distress - Low distress level,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,61.8,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SEXM: Male,15: Psychological distress - Low distress level,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,63.9,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SEXM: Male,15: Psychological distress - Low distress level,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,58.8,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SEXM: Male,20: Psychological distress - Moderate distress level,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,22.2,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SEXM: Male,20: Psychological distress - Moderate distress level,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,17,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SEXM: Male,20: Psychological distress - Moderate distress level,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,19.5,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SEXM: Male,25: Psychological distress - High distress level,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,9.6,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SEXM: Male,25: Psychological distress - High distress level,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,10,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SEXM: Male,25: Psychological distress - High distress level,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,8.8,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SEXM: Male,30: Psychological distress - Very high distress level,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,6.4,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SEXM: Male,30: Psychological distress - Very high distress level,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,7,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SEXM: Male,30: Psychological distress - Very high distress level,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,8.3,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SEXM: Male,35: Psychological distress - High / Very high distress level,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,16,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SEXM: Male,35: Psychological distress - High / Very high distress level,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,17,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SEXM: Male,35: Psychological distress - High / Very high distress level,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,17.1,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SEXM: Male,40: Psychological distress - Total persons aged 18 years and over,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,100,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SEXM: Male,40: Psychological distress - Total persons aged 18 years and over,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,100,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SEXM: Male,40: Psychological distress - Total persons aged 18 years and over,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,100,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SEXM: Male,50: Discussed feelings of psychological distress with a doctor or other health professional,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,11.7,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SEXM: Male,50: Discussed feelings of psychological distress with a doctor or other health professional,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,13.2,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SEXM: Male,50: Discussed feelings of psychological distress with a doctor or other health professional,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,11.7,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SEXM: Male,55: Did not discuss feelings of psychological distress with a doctor or other health professional,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,88.3,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SEXM: Male,55: Did not discuss feelings of psychological distress with a doctor or other health professional,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,86.8,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SEXM: Male,55: Did not discuss feelings of psychological distress with a doctor or other health professional,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,88.3,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SEXM: Male,60: Total persons who felt psychological distress that impacted on their emotional and mental wellbeing in the last four weeks,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,100,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SEXM: Male,60: Total persons who felt psychological distress that impacted on their emotional and mental wellbeing in the last four weeks,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,100,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SEXM: Male,60: Total persons who felt psychological distress that impacted on their emotional and mental wellbeing in the last four weeks,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,100,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SEXF: Female,15: Psychological distress - Low distress level,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,52.5,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SEXF: Female,15: Psychological distress - Low distress level,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,54.8,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SEXF: Female,15: Psychological distress - Low distress level,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,49.4,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SEXF: Female,20: Psychological distress - Moderate distress level,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,22.7,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SEXF: Female,20: Psychological distress - Moderate distress level,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,19.5,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SEXF: Female,20: Psychological distress - Moderate distress level,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,22.3,PCT: Percent,,
