WHOREGION,FLUSEASON,HEMISPHERE,ITZ,COUNTRY_CODE,COUNTRY_AREA_TERRITORY,ISO_WEEKSTARTDATE,ISO_YEAR,ISO_WEEK,MMWR_WEEKSTARTDATE,MMWR_YEAR,MMWR_WEEK,ORIGIN_SOURCE,SPEC_PROCESSED_NB,SPEC_RECEIVED_NB,AH1N12009,AH1,AH3,AH5,AH7N9,ANOTSUBTYPED,ANOTSUBTYPABLE,AOTHER_SUBTYPE,AOTHER_SUBTYPE_DETAILS,INF_A,BVIC_2DEL,BVIC_3DEL,BVIC_NODEL,BVIC_DELUNK,BYAM,BNOTDETERMINED,INF_B,INF_ALL,INF_NEGATIVE,ILI_ACTIVITY,ADENO,BOCA,HUMAN_CORONA,METAPNEUMO,PARAINFLUENZA,RHINO,RSV,OTHERRESPVIRUS,OTHER_RESPVIRUS_DETAILS,LAB_RESULT_COMMENT,WCR_COMMENT,ISO2,ISOYW,MMWRYW
EUR,NH,NH,FLU_SW_EUR,BIH,Bosnia and Herzegovina,7/11/2011,2011,45,6/11/2011,2011,45,NOTDEFINED,0.0,,0.0,0.0,0.0,,,0.0,,,,0.0,,,0.0,,0.0,0.0,0.0,,,1.0,,,,,,,,,RSV,?????,?????,BA,201145,201145
AMR,YR,NH,FLU_CNT_AMC,SLV,El Salvador,1/05/2023,2023,18,30/04/2023,2023,18,NONSENTINEL,0.0,,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,SV,202318,202318
AFR,YR,NH,FLU_MID_AFR,SSD,South Sudan,8/11/2021,2021,45,7/11/2021,2021,45,NOTDEFINED,5.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,5.0,1.0,,,,,,,,0.0,,,,SS,202145,202145
EUR,NH,NH,FLU_EST_EUR,UKR,Ukraine,21/04/2014,2014,17,20/04/2014,2014,17,SENTINEL,3.0,,0.0,0.0,0.0,,,0.0,,,,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,,,,0.0,,,,,UA,201417,201417
EUR,NH,NH,FLU_EST_EUR,CZE,Czechia,23/02/2015,2015,9,22/02/2015,2015,8,SENTINEL,20.0,,0.0,0.0,7.0,,,0.0,,,,7.0,,,0.0,,0.0,6.0,6.0,13.0,,,,,,,,,0.0,,,,,CZ,201509,201508
EUR,NH,NH,FLU_NTH_EUR,X09,"United Kingdom, England",12/06/2000,2000,24,11/06/2000,2000,24,NOTDEFINED,0.0,,,0.0,0.0,,,0.0,,,,0.0,,,,,,0.0,0.0,,,2.0,,,,,,,,,,,,XE,200024,200024
EUR,NH,NH,FLU_SW_EUR,FRA,France,12/01/2015,2015,3,11/01/2015,2015,2,SENTINEL,159.0,,23.0,0.0,63.0,,,0.0,,,,86.0,,,0.0,,0.0,14.0,14.0,100.0,,,,,,,,,9.0,,,,,FR,201503,201502
EUR,NH,NH,FLU_CNT_ASIA,TKM,Turkmenistan,29/10/2018,2018,44,28/10/2018,2018,44,SENTINEL,2.0,,0.0,0.0,0.0,,,0.0,,,,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,,,,0.0,,,,,TM,201844,201844
EUR,NH,NH,FLU_WST_ASIA,AZE,Azerbaijan,31/07/2017,2017,31,30/07/2017,2017,31,SENTINEL,0.0,,0.0,0.0,0.0,,,0.0,,,,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,,,,0.0,,,,,AZ,201731,201731
AMR,YR,NH,FLU_CNT_AMC,BLZ,Belize,23/11/2020,2020,48,22/11/2020,2020,48,SENTINEL,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,BZ,202048,202048
