,Unnamed: 0,WHOREGION,FLUSEASON,HEMISPHERE,ITZ,COUNTRY_CODE,COUNTRY_AREA_TERRITORY,ISO_WEEKSTARTDATE,ISO_YEAR,ISO_WEEK,MMWR_WEEKSTARTDATE,MMWR_YEAR,MMWR_WEEK,ORIGIN_SOURCE,SPEC_PROCESSED_NB,SPEC_RECEIVED_NB,AH1N12009,AH1,AH3,AH5,AH7N9,ANOTSUBTYPED,ANOTSUBTYPABLE,AOTHER_SUBTYPE,AOTHER_SUBTYPE_DETAILS,INF_A,BVIC_2DEL,BVIC_3DEL,BVIC_NODEL,BVIC_DELUNK,BYAM,BNOTDETERMINED,INF_B,INF_ALL,INF_NEGATIVE,ILI_ACTIVITY,ADENO,BOCA,HUMAN_CORONA,METAPNEUMO,PARAINFLUENZA,RHINO,RSV,OTHERRESPVIRUS,OTHER_RESPVIRUS_DETAILS,LAB_RESULT_COMMENT,WCR_COMMENT,ISO2,ISOYW,MMWRYW
0,0,AMR,YR,NH,FLU_CNT_AMC,ABW,Aruba,2017-01-23,2017.0,4.0,2017-01-22,2017.0,4.0,NOTDEFINED,12.0,,1.0,,,,,,,,,1.0,,,,,,,,1.0,9.0,,,,,,,,2.0,,,,,AW,201704.0,201704.0
1,1,AMR,YR,NH,FLU_CNT_AMC,ABW,Aruba,2017-02-27,2017.0,9.0,2017-02-26,2017.0,9.0,NOTDEFINED,13.0,,,,,,,,,,,,,,,,,2.0,2.0,2.0,8.0,,,,,,,,3.0,,,,,AW,201709.0,201709.0
2,2,AMR,YR,NH,FLU_CNT_AMC,ABW,Aruba,2017-04-03,2017.0,14.0,2017-04-02,2017.0,14.0,NOTDEFINED,3.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,AW,201714.0,201714.0
3,3,AMR,YR,NH,FLU_CNT_AMC,ABW,Aruba,2017-07-17,2017.0,29.0,2017-07-16,2017.0,29.0,NOTDEFINED,6.0,,,,,,,,,,,,,,,,,5.0,5.0,5.0,1.0,,,,,,,,,,,,,AW,201729.0,201729.0
4,4,AMR,YR,NH,FLU_CNT_AMC,ABW,Aruba,2017-08-21,2017.0,34.0,2017-08-20,2017.0,34.0,NOTDEFINED,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,AW,201734.0,201734.0
5,5,AMR,YR,NH,FLU_CNT_AMC,ABW,Aruba,2017-09-25,2017.0,39.0,2017-09-24,2017.0,39.0,NOTDEFINED,2.0,,1.0,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,AW,201739.0,201739.0
6,6,AMR,YR,NH,FLU_CNT_AMC,ABW,Aruba,2017-10-30,2017.0,44.0,2017-10-29,2017.0,44.0,NOTDEFINED,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,AW,201744.0,201744.0
7,7,AMR,YR,NH,FLU_CNT_AMC,ABW,Aruba,2017-12-04,2017.0,49.0,2017-12-03,2017.0,49.0,NOTDEFINED,8.0,,1.0,,,,,,,,,1.0,,,,,,,,1.0,3.0,,,,,,,,4.0,,,,,AW,201749.0,201749.0
8,8,AMR,YR,NH,FLU_CNT_AMC,ABW,Aruba,2018-07-09,2018.0,28.0,2018-07-08,2018.0,28.0,NOTDEFINED,4.0,,4.0,,,,,,,,,4.0,,,,,,,,4.0,,,,,,,,,,,,,,AW,201828.0,201828.0
9,9,AMR,YR,NH,FLU_CNT_AMC,ABW,Aruba,2018-08-13,2018.0,33.0,2018-08-12,2018.0,33.0,NOTDEFINED,1.0,,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,AW,201833.0,201833.0
10,10,AMR,YR,NH,FLU_CNT_AMC,ABW,Aruba,2018-09-17,2018.0,38.0,2018-09-16,2018.0,38.0,NOTDEFINED,5.0,,3.0,,,,,,,,,3.0,,,,,,,,3.0,,,,,,,,,2.0,,,,,AW,201838.0,201838.0
11,11,AMR,YR,NH,FLU_CNT_AMC,ABW,Aruba,2018-10-22,2018.0,43.0,2018-10-21,2018.0,43.0,NOTDEFINED,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,AW,201843.0,201843.0
12,12,AMR,YR,NH,FLU_CNT_AMC,ABW,Aruba,2018-11-26,2018.0,48.0,2018-11-25,2018.0,48.0,NOTDEFINED,4.0,,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,3.0,,,,,AW,201848.0,201848.0
13,13,AMR,YR,NH,FLU_CNT_AMC,ABW,Aruba,2018-12-31,2019.0,1.0,2018-12-30,2019.0,1.0,NOTDEFINED,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,AW,201901.0,201901.0
14,14,AMR,YR,NH,FLU_CNT_AMC,ABW,Aruba,2019-02-04,2019.0,6.0,2019-02-03,2019.0,6.0,NOTDEFINED,13.0,,10.0,,,,,,,,,10.0,,,,,,1.0,1.0,11.0,0.0,,,,,,,,2.0,,,,,AW,201906.0,201906.0
15,15,AMR,YR,NH,FLU_CNT_AMC,ABW,Aruba,2019-03-11,2019.0,11.0,2019-03-10,2019.0,11.0,NOTDEFINED,11.0,,10.0,,,,,,,,,10.0,,,,,,,,10.0,0.0,,,,,,,,1.0,,,,,AW,201911.0,201911.0
16,16,AMR,YR,NH,FLU_CNT_AMC,ABW,Aruba,2019-04-15,2019.0,16.0,2019-04-14,2019.0,16.0,NOTDEFINED,1.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1.0,,,,,AW,201916.0,201916.0
17,17,AMR,YR,NH,FLU_CNT_AMC,ABW,Aruba,2019-05-20,2019.0,21.0,2019-05-19,2019.0,21.0,NOTDEFINED,1.0,,,,,,,,,,,,,,,,1.0,,1.0,1.0,0.0,,,,,,,,,,,,,AW,201921.0,201921.0
18,18,AMR,YR,NH,FLU_CNT_AMC,ABW,Aruba,2021-01-11,2021.0,2.0,2021-01-10,2021.0,2.0,SENTINEL,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,AW,202102.0,202102.0
19,19,AMR,YR,NH,FLU_CNT_AMC,ABW,Aruba,2021-02-15,2021.0,7.0,2021-02-14,2021.0,7.0,SENTINEL,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,AW,202107.0,202107.0
20,20,AMR,YR,NH,FLU_CNT_AMC,ABW,Aruba,2021-03-22,2021.0,12.0,2021-03-21,2021.0,12.0,SENTINEL,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,AW,202112.0,202112.0
21,21,AMR,YR,NH,FLU_CNT_AMC,ABW,Aruba,2021-04-26,2021.0,17.0,2021-04-25,2021.0,17.0,SENTINEL,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,AW,202117.0,202117.0
22,22,AMR,YR,NH,FLU_CNT_AMC,ABW,Aruba,2018-01-08,2018.0,2.0,2018-01-07,2018.0,2.0,NOTDEFINED,4.0,,1.0,,,,,,,,,1.0,,,,,,1.0,1.0,2.0,1.0,,,,,,,,1.0,,,,,AW,201802.0,201802.0
